Bus Name,Addr 1,Addr 2,"City, State Zip",Dist,Map
GIANT EAGLE PHARMACY #4093,2501 W 12TH ST,,"ERIE, PA 16505",45 miles,Map
"RITE AID OF NEW YORK, INC.",81 WEST MAIN STREET,,"GOWANDA, NY 14070",42 miles,Map
"VALLEY PHARMACY & MEDICAL SUPPLIES, INC.",31 W MAIN ST,,"GOWANDA, NY 14070",42 miles,Map
"RITE AID OF NEW YORK, INC.",9 BROAD STREET,,"SALAMANCA, NY 14779",50 miles,Map
"RITE AID OF NEW YORK, INC.",9062 ERIE ROAD,,"ANGOLA, NY 14006",48 miles,Map
"WALGREEN EASTERN CO., INC.",9050 ERIE RD.,,"ANGOLA, NY 14006",48 miles,Map
ELLICOTTVILLE PHARMACY INC,6133 ROUTE 219 S STE 1004,,"ELLICOTTVILLE, NY 14731",54 miles,Map
ECKERD CORPORATION,6939 ERIE ROAD,,"DERBY, NY 14047",54 miles,Map
"TOPS MARKETS, LLC",6914 ERIE RD,,"DERBY, NY 14047",54 miles,Map
GIANT EAGLE PHARMACY #2470,606 ERIE ST,STE 130,"EDINBORO, PA 16412",52 miles,Map
"PENNSYLVANIA CVS PHARMACY, L.L.C.",124 ERIE ST.,,"EDINBORO, PA 16412",53 miles,Map
ECKERD CORPORATION,8079 NORTH MAIN STREET,,"EDEN, NY 14057",56 miles,Map
"PENNSYLVANIA CVS PHARMACY, L.L.C.",10 DAVIS ST,,"BRADFORD, PA 16701",59 miles,Map
"RITE AID OF NEW YORK, INC.",40 WEST MAIN STREET,,"SPRINGVILLE, NY 14141",59 miles,Map
SPRINGVILLE PHARMACY LLC,13 E. MAIN ST,,"SPRINGVILLE, NY 14141",60 miles,Map
BERTRAND CHAFFEE HOSPITAL,224 E MAIN ST,PHARMACY DEPARTMENT,"SPRINGVILLE, NY 14141",60 miles,Map
"RITE AID OF NEW YORK, INC.",140 PINE STREET,,"HAMBURG, NY 14075",62 miles,Map
J RUTOWSKI OF WANAKAH,S 4923 LAKESHORE RD,,"HAMBURG, NY 14075",62 miles,Map
"RML PHARMACY, P.C.",4481 LAKE SHORE RD,,"HAMBURG, NY 14075",63 miles,Map
"CVS ALBANY, L.L.C.",358 BUFFALO STREET,,"HAMBURG, NY 14075",63 miles,Map
"WALGREEN EASTERN CO., INC.",6199 SOUTH PARK AVE.,,"HAMBURG, NY 14075",63 miles,Map
TOPS MARKETS,S6150 S. PARK AVE,,"HAMBURG, NY 14075",63 miles,Map
ECKERD CORPORATION,5999 SOUTH PARK AVENUE,,"HAMBURG, NY 14075",63 miles,Map
"CVS ALBANY, L.L.C.",7182 BOSTON STATE RD.,,"HAMBURG, NY 14075",63 miles,Map
TOPS PHARMACY,525 N FRALEY STREET,,"KANE, PA 16735",65 miles,Map
"RITE AID OF PENNSYLVANIA, LLC",521 NORTH FRALEY STREET,,"KANE, PA 16735",65 miles,Map
"CVS ALBANY, L.L.C.",3734 S. PARK AVE.,,"BLASDELL, NY 14219",68 miles,Map
"PENNSYLVANIA CVS PHARMACY, L.L.C.","392 NORTH ST.,",,"MEADVILLE, PA 16335",68 miles,Map
"RITE AID OF NEW YORK, INC.",3071-3085 SOUTH PARK AVENUE,,"LACKAWANNA, NY 14218",70 miles,Map
"RITE AID OF NEW YORK, INC.",350 NIAGARA STREET,,"BUFFALO, NY 14201",73 miles,Map
"PERNA NIAGARA, INC.",425 NIAGARA ST,,"BUFFALO, NY 14201",73 miles,Map
"RITE AID OF NEW YORK, INC.",452 MAIN STREET,,"BUFFALO, NY 14202",72 miles,Map
"EHS, INC.",206 S ELMWOOD AVE,,"BUFFALO, NY 14201",73 miles,Map
"RITE AID OF NEW YORK, INC.",284 CONNECTICUT STREET,,"BUFFALO, NY 14213",73 miles,Map
ECKERD CORPORATION,2175 SOUTH PARK AVENUE,,"BUFFALO, NY 14220",71 miles,Map
"WALGREEN EASTERN CO., INC.",1328 ABBOTT ROAD,,"LACKAWANNA, NY 14218",71 miles,Map
ECKERD CORPORATION,291 WEST FERRY STREET,,"BUFFALO, NY 14213",74 miles,Map
ECKERD CORPORATION,4060 N BUFFALO ST,,"ORCHARD PARK, NY 14127",70 miles,Map
TOPS MARKETS,1460 SOUTH PARK AVENUE,,"BUFFALO, NY 14220",72 miles,Map
GIANT EAGLE PHARMACY #0095,18511 SMOCK HIGHWAY,,"MEADVILLE, PA 16335",71 miles,Map
"WALGREEN EASTERN CO., INC.",650 DELAWARE AVENUE,,"BUFFALO, NY 14202",74 miles,Map
"RITE AID OF NEW YORK, INC.",424 ELMWOOD AVE.,,"BUFFALO, NY 14222",74 miles,Map
"RITE AID OF NEW YORK, INC.",476 WILLIAM STREET,,"BUFFALO, NY 14206",73 miles,Map
"RITE AID OF NEW YORK, INC.",845 ABBOTT ROAD,,"BUFFALO, NY 14220",72 miles,Map
STATE OF NEW YORK,ELM & CARLTON STREETS,PHARMACY DEPT.,"BUFFALO, NY 14263",74 miles,Map
"RITE AID OF NEW YORK, INC.",1941 SENECA STREET,,"BUFFALO, NY 14210",73 miles,Map
TOPS MARKETS,355 ORCHARD PARK ROAD,,"WEST SENECA, NY 14224",72 miles,Map
"CVS ALBANY, L.L.C.",3098 ORCHARD PARK ROAD,,"WEST SENECA, NY 14224",71 miles,Map
BUFFALO CLINICAL SERVICES,1769 ORCHARD PARK ROAD,,"WEST SENECA, NY 14224",71 miles,Map
"RITE AID OF NEW YORK, INC.",3050 UNION ROAD,,"ORCHARD PARK, NY 14127",71 miles,Map
"BRY LIN HOSPITALS, INC",C/O PHARMACY DEPARTMENT,1263 DELAWARE AVE,"BUFFALO, NY 14209",75 miles,Map
TOPS MARKETS,3201 SOUTHWESTERN BLVD.,,"ORCHARD PARK, NY 14127",71 miles,Map
"RITE AID OF NEW YORK, INC.",1410 DELAWARE AVENUE,,"BUFFALO, NY 14209",75 miles,Map
"TOPS MARKETS, LLC",1275 JEFFERSON AVE,,"BUFFALO, NY 14208",75 miles,Map
DEXTER PRESCRIPTION CENTER INC,1453 JEFFERSON AVE,,"BUFFALO, NY 14208",75 miles,Map
"RITE AID OF NEW YORK, INC.",1070 GENESEE STREET,,"BUFFALO, NY 14211",75 miles,Map
"CVS ALBANY, L.L.C.",360 DINGENS ST.,,"BUFFALO, NY 14206",75 miles,Map
"RITE AID OF NEW YORK, INC.",4018 SENECA STREET,,"WEST SENECA, NY 14224",73 miles,Map
ECKERD CORPORATION,798 HARLEM ROAD,,"WEST SENECA, NY 14224",74 miles,Map
ECKERD CORPORATION,1625 BROADWAY STREET,,"BUFFALO, NY 14212",75 miles,Map
ECKERD CORPORATION,1454 UNION ROAD,,"WEST SENECA, NY 14224",74 miles,Map
"RITE AID OF NEW YORK, INC.",1224 EAST LOVEJOY STREET,,"BUFFALO, NY 14206",75 miles,Map
"RITE AID OF NEW YORK, INC.",2315 WILLIAM STREET,,"BUFFALO, NY 14206",76 miles,Map
"RITE AID OF NEW YORK, INC.",2474 BAILEY AVENUE,,"BUFFALO, NY 14215",77 miles,Map
TOPS MARKETS,700 THRUWAY PLAZA DR.,,"CHEEKTOWAGA, NY 14225",77 miles,Map
ECKERD CORPORATION,2401 GENESEE STREET,,"CHEEKTOWAGA, NY 14225",78 miles,Map
ECKERD CORPORATION,2561 UNION ROAD,,"CHEEKTOWAGA, NY 14227",77 miles,Map
"RITE AID OF NEW YORK, INC.",2887 HARLEM ROAD,,"CHEEKTOWAGA, NY 14225",78 miles,Map
ECKERD CORPORATION,190 MAIN STREET,,"EAST AURORA, NY 14052",75 miles,Map
RUTOWSKI OF EAST AURORA INC,597 OAKWOOD AVE,,"EAST AURORA, NY 14052",76 miles,Map
"CVS ALBANY, L.L.C.",727 MAIN ST.,,"EAST AURORA, NY 14052",76 miles,Map
TOPS PHARMACY MARKETS LLC,3865 UNION ROAD,,"CHEEKTOWAGA, NY 14225",79 miles,Map
"RITE AID DRUG PALACE, INC.",3950 UNION ROAD,,"CHEEKTOWAGA, NY 14225",80 miles,Map
TOPS MARKETS,4777 TRANSIT RD,,"DEPEW, NY 14043",78 miles,Map
J. RUTOWSKI INC,1029-31 CLEVELAND DR,,"CHEEKTOWAGA, NY 14225",80 miles,Map
ECKERD CORPORATION,4937 TRANSIT ROAD,,"DEPEW, NY 14043",79 miles,Map
J RUTOWSKI OF ELMA INC,2317 BOWEN RD,PO BOX 90,"ELMA, NY 14059",79 miles,Map
ECKERD CORPORATION,4900 BROADWAY,,"DEPEW, NY 14043",81 miles,Map
"BROADWAY PENORA, INC.",5175 BROADWAY,,"DEPEW, NY 14043",81 miles,Map
"RITE AID OF NEW YORK, INC.",6000 TRANSIT ROAD,,"DEPEW, NY 14043",82 miles,Map
MODEN-GIROUX,TRANSIT HILL PHARMACY,6344 TRANSIT RD,"DEPEW, NY 14043",82 miles,Map
"RITE AID OF NEW YORK, INC.",60 CENTRAL AVENUE,,"LANCASTER, NY 14086",82 miles,Map
TOPS MARKETS,6363 TRANSIT ROAD,,"DEPEW, NY 14043",83 miles,Map
"TOPS MARKETS, LLC",12775 BROADWAY,,"ALDEN, NY 14004",88 miles,Map
ECKERD CORPORATION,13090 BROADWAY ROAD,,"ALDEN, NY 14004",89 miles,Map
RUTOWSKI OF ALDEN INC,13203 BROADWAY ST,,"ALDEN, NY 14004",89 miles,Map
JAMESTOWN PHARMACY,121 LIBERTY ST,,"JAMESTOWN, PA 16134",92 miles,
"KPH HEALTHCARE SERVICES, INC.",14 CLINTON AVENUE,,"CORTLAND, NY 13045",1 miles,Map
GUTHRIE CORTLAND MED CTR/THE GUTHRIE CLINIC,134 HOMER AVE,,"CORTLAND, NY 13045",1 miles,Map
"CVS ALBANY, L.L.C.",13 PORT WATSON STREET,,"CORTLAND, NY 13045",1 miles,Map
"KPH HEALTHCARE SERVICES, INC.",3666 NYS ROUTE 281,,"CORTLAND, NY 13045",2 miles,Map
ECKERD CORPORATION,1067 STATE ROUTE 222,,"CORTLAND, NY 13045",2 miles,Map
THE GOLUB CORPORATION,854 STATE ROUTE 13,,"CORTLAND, NY 13045",4 miles,Map
"KPH HEALTHCARE SERVICES, INC.",44 NORTH STREET,,"DRYDEN, NY 13053",13 miles,Map
"KPH HEALTHCARE SERVICES, INC.",596 ROUTE 11,,"TULLY, NY 13159",18 miles,Map
"KPH HEALTHCARE SERVICES, INC.",130 MAIN STREET,,"MORAVIA, NY 13118",18 miles,Map
STATE UNIVERSITY OF NEW YORK,5000 WEST SENECA TPKE,SUITE A,"SYRACUSE, NY 13215",35 miles,Map
"WALGREEN EASTERN CO., INC.",5942 SOUTH SALINA STREET,,"SYRACUSE, NY 13205",34 miles,Map
"WALGREEN EASTERN CO., INC.",4751 ONONDAGA BLVD,,"SYRACUSE, NY 13219",38 miles,Map
"WALGREEN EASTERN CO., INC.",4001 S SALINA ST,,"SYRACUSE, NY 13205",36 miles,Map
"KPH HEALTHCARE SERVICES, INC.",2255 NORTH TRIPHAMMER ROAD,,"ITHACA, NY 14850",23 miles,Map
TOPS MARKETS,2300 N. TRIPHAMMER RD,,"ITHACA, NY 14850",23 miles,Map
"KPH HEALTHCARE SERVICES, INC.",104 LAFAYETTE ROAD,,"SYRACUSE, NY 13205",35 miles,Map
WESTSIDE FAMILY PHARMACY LLC,216 SEYMOUR ST,,"SYRACUSE, NY 13204",39 miles,Map
UNIVERSITY HOSPITAL-PHARMACY,750 E ADAMS ST,,"SYRACUSE, NY 13210",39 miles,Map
STATE UNIVERSITY OF NEW YORK,750 EAST ADAMS STREET,LOBBY,"SYRACUSE, NY 13210",39 miles,Map
GANNETT: CORNELL UNIVERSITY,110 HO PLZ,,"ITHACA, NY 14853",25 miles,Map
ST JOSEPHS HOSP HEALTH CTR,301 PROSPECT AVE,,"SYRACUSE, NY 13203",40 miles,Map
"KPH HEALTHCARE SERVICES, INC.",406 BUTTERNUT STREET,,"SYRACUSE, NY 13208",40 miles,Map
"RITE AID OF NEW YORK, INC.",519 BUTTERNUT STREET,,"SYRACUSE, NY 13208",40 miles,Map
"WALGREEN EASTERN CO., INC.",602 NOTTINGHAM RD,,"SYRACUSE, NY 13224",37 miles,Map
"KPH HEALTHCARE SERVICES, INC.",307 NOTTINGHAM ROAD,,"SYRACUSE, NY 13210",38 miles,Map
"WALGREEN EASTERN CO., INC.",1405 E GENESEE ST,,"SYRACUSE, NY 13210",39 miles,Map
"KPH HEALTHCARE SERVICES, INC.",513 NORTH CAYUGA STREET,,"ITHACA, NY 14850",26 miles,Map
TOPS MARKETS,700 FIRST NORTH STREET,,"SYRACUSE, NY 13208",41 miles,Map
"KPH HEALTHCARE SERVICES, INC.",437 ELECTONICS PARKWAY,,"LIVERPOOL, NY 13088",44 miles,Map
"KPH HEALTHCARE SERVICES, INC.",4202 WEST GENESEE STREET,C/O PHARMACY,"SYRACUSE, NY 13219",39 miles,Map
"CVS ALBANY, L.L.C.",625 W. CLINTON ST.,,"ITHACA, NY 14850",27 miles,Map
CAYUGA MEDICAL CENTER AT ITHACA,101 DATES DR FL 3,,"ITHACA, NY 14850",27 miles,Map
THE GOLUB CORPORATION,2515 ERIE BLVD EAST,,"SYRACUSE, NY 13214",40 miles,Map
"WALGREEN EASTERN CO., INC.",2329 JAMES ST.,,"SYRACUSE, NY 13206",41 miles,Map
ECKERD CORPORATION,5335 WEST GENESEE ST STE 20,,"CAMILLUS, NY 13031",39 miles,Map
C&J'S NORTHSIDE PHARMACY INC,2301 TEALL AVE,,"SYRACUSE, NY 13206",42 miles,Map
"KPH HEALTHCARE SERVICES, INC.",2912 JAMES STREET,,"SYRACUSE, NY 13206",41 miles,Map
"KPH HEALTHCARE SERVICES, INC.",5221 WEST TAFT ROAD,,"NORTH SYRACUSE, NY 13212",46 miles,Map
ECKERD CORPORATION,1820 TEALL AVE,,"SYRACUSE, NY 13206",42 miles,Map
VINCE'S PHARMACY OF CAMILLUS,240 TOWNSHIP BLVD STE 30,,"CAMILLUS, NY 13031",40 miles,Map
"KPH HEALTHCARE SERVICES, INC.",2100 TRUMANSBURG RD,,"TRUMANSBURG, NY 14886",31 miles,Map
REFRESH PHARMACY,5700 W GENESEE ST STE 106,,"CAMILLUS, NY 13031",39 miles,Map
ECKERD CORPORATION,5380 WEST TAFT ROAD,,"NORTH SYRACUSE, NY 13212",46 miles,Map
"THE OWEGO PHARMACY, INC.",1135 STATE ROUTE 17C,,"OWEGO, NY 13827",46 miles,Map
"KPH HEALTHCARE SERVICES, INC.",7608 OSWEGO ROAD,STE 21,"LIVERPOOL, NY 13090",48 miles,Map
"HEALTHDIRECT INSTITUTIONAL PHARMACY SERVICES, INC.",515 STEWART DRIVE WEST,,"NORTH SYRACUSE, NY 13212",46 miles,Map
"KPH HEALTHCARE SERVICES, INC.",23 FENNEL STREET,,"SKANEATELES, NY 13152",34 miles,Map
"CVS ALBANY, L.L.C.",27 FENNELL ST.,,"SKANEATELES, NY 13152",34 miles,Map
"CVS ALBANY, L.L.C.",39 PARK STREET,,"OWEGO, NY 13827",46 miles,Map
"KPH HEALTHCARE SERVICES, INC.",7065 MANLIUS CENTER ROAD,,"EAST SYRACUSE, NY 13057",42 miles,Map
THE GOLUB CORPORATION,5701 E CIRCLE DR,,"CICERO, NY 13039",48 miles,Map
"CVS ALBANY, L.L.C.",1008 UNION CENTER MAINE HWY.,,"ENDICOTT, NY 13760",46 miles,Map
"CVS ALBANY, L.L.C.","800 HOOPER RD., SUITE 500",,"ENDWELL, NY 13760",45 miles,Map
THE GOLUB CORPORATION,1001 NORTH ST,STE #11,"ENDICOTT, NY 13760",46 miles,Map
"CVS ALBANY, L.L.C.","1103 NORTH ST,",,"ENDICOTT, NY 13760",46 miles,Map
"KPH HEALTHCARE SERVICES, INC.",8150 THOMPSON ROAD,,"CICERO, NY 13039",50 miles,Map
THE GOLUB CORPORATION,3863 STATE ROUTE 31,,"LIVERPOOL, NY 13090",52 miles,Map
"KPH HEALTHCARE SERVICES, INC.",41 ALBANY ST,,"CAZENOVIA, NY 13035",36 miles,Map
ECKERD CORPORATION,8379 THOMPSON ROAD.,,"CICERO, NY 13039",51 miles,Map
"KPH HEALTHCARE SERVICES, INC.",1057 RT. 5 EAST,,"ELBRIDGE, NY 13060",41 miles,Map
ECKERD CORPORATION,511 HOOPER ROAD,,"ENDWELL, NY 13760",46 miles,Map
"KPH HEALTHCARE SERVICES, INC.",9543 ROUTE 11,,"BREWERTON, NY 13029",56 miles,Map
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC.",3101 SHIPPERS RD STE 104,,"VESTAL, NY 13850",47 miles,Map
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC.",501 REYNOLDS RD,,"JOHNSON CITY, NY 13790",45 miles,Map
"KPH HEALTHCARE SERVICES, INC.",62 OWASCO STREET,,"AUBURN, NY 13021",38 miles,Map
"KPH HEALTHCARE SERVICES, INC.",21 E. GENESEE STREET,,"BALDWINSVILLE, NY 13027",50 miles,Map
"PHARMSCRIPT, LLC",441 COMMERCE RD STE 2,,"VESTAL, NY 13850",47 miles,Map
"WALGREEN EASTERN CO., INC.",150 GRANT AVENUE,,"AUBURN, NY 13021",39 miles,Map
ECKERD CORPORATION,113 DOWNER STREET,,"BALDWINSVILLE, NY 13027",50 miles,Map
ECKERD CORPORATION,153 GRANT AVENUE,,"AUBURN, NY 13021",39 miles,Map
"KPH HEALTHCARE SERVICES, INC.",7115 NORTH MAIN STREET,P.O. BOX 369,"OVID, NY 14521",43 miles,Map
BARTLES PHARMACY INC,10 LAFAYETTE PARK,P.O. BOX 630,"OXFORD, NY 13830",39 miles,Map
WAL-MART PHARMACY 10-1830,297 GRANT AVE,,"AUBURN, NY 13021",39 miles,Map
RX CITY PHARMACY INC,161 GENESEE ST STE 105,,"AUBURN, NY 13021",39 miles,Map
MEDICINE SHOPPE,1315 STATE ROUTE 5 STE A,,"CHITTENANGO, NY 13037",43 miles,Map
"TOPS PT, LLC",2265 DOWNER STREET,,"BALDWINSVILLE, NY 13027",50 miles,Map
UNITED HEALTH SERVICES HOSPITALS INC,52 HARRISON ST,,"JOHNSON CITY, NY 13790",47 miles,Map
TOPS MARKETS,352 GENESEE STREET,,"AUBURN, NY 13021",39 miles,Map
"KPH HEALTHCARE SERVICES, INC.",187 STATE STREET,,"AUBURN, NY 13021",39 miles,Map
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC.",17 CHENANGO BRIDGE RD,SUITE A,"BINGHAMTON, NY 13901",44 miles,Map
"CVS ALBANY, L.L.C.",1276 UPPER FRONT ST.,,"BINGHAMTON, NY 13901",45 miles,Map
GOLUB CORPORATION,33 CHENANGO BRIDGE RD,,"BINGHAMTON, NY 13901",44 miles,Map
OSWEGO VALLEY PHARMACY INC,464 MAIN ST,,"PHOENIX, NY 13135",56 miles,Map
"CVS ALBANY, L.L.C.",249 MAIN STREET,,"BINGHAMTON, NY 13905",48 miles,Map
THE GOLUB CORPORATION,10 GLENWOOD AVE,,"BINGHAMTON, NY 13905",48 miles,Map
THE GOLUB CORPORATION,5631 STATE HIGHWAY 12,,"NORWICH, NY 13815",44 miles,Map
"KPH HEALTHCARE SERVICES, INC.",540 GENESEE STREET,,"CHITTENANGO, NY 13037",45 miles,Map
OUR LADY OF LOURDES MEMORIAL,C/O PHARMACY,169 RIVERSIDE DR.,"BINGHAMTON, NY 13905",49 miles,Map
"KPH HEALTHCARE SERVICES, INC.",7998 ROUTE 31,,"BRIDGEPORT, NY 13030",51 miles,Map
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC.",477 WEST STATE ST,,"BINGHAMTON, NY 13901",49 miles,Map
"CLCRESSLER, INC",1179 VESTAL AVE,SUITE 1,"BINGHAMTON, NY 13903",50 miles,Map
"UNITED HEALTH SERVICES HOSPITALS, INC.",33 MITCHELL AVENUE,SUITE 108,"BINGHAMTON, NY 13903",50 miles,Map
ECKERD CORPORATION,201 CONKLIN AVENUE,,"BINGHAMTON, NY 13903",50 miles,Map
CMV PHARMACY INC.,14 E MAIN ST.,PO BOX 237,"MORRISVILLE, NY 13408",43 miles,Map
"KPH HEALTHCARE SERVICES, INC.",2783 NYS RT 31,,"WEEDSPORT, NY 13166",48 miles,Map
COMMUNITY MEMORIAL HOSPITAL,150 BROAD ST,PHARMACY DEPARTMENT,"HAMILTON, NY 13346",46 miles,Map
CMV PHARMACY INC.,1017 MADISON MARKETPLACE,,"HAMILTON, NY 13346",46 miles,Map
"KPH HEALTHCARE SERVICES, INC.",103 UTICA ST,,"HAMILTON, NY 13346",46 miles,Map
HERBST PHARMACY INC,1 CHURCH ST,,"PORT BYRON, NY 13140",48 miles,Map
WATER STREET PHARMACY INC,14 WATER ST,,"DUNDEE, NY 14837",53 miles,Map
"KPH HEALTHCARE SERVICES, INC.",2085 ROUTE 5&20,,"SENECA FALLS, NY 13148",48 miles,Map
PINE HILL HOMETOWN PHARMACY INC.,2949 STATE ROUTE 370,,"CATO, NY 13033",56 miles,Map
"WATER STREET PHARMACY, INC.",126 MAIN ST,,"PENN YAN, NY 14527",58 miles,Map
"RITE AID OF NEW YORK, INC.",138 ELM STREET,,"PENN YAN, NY 14527",58 miles,Map
"CVS ALBANY, L.L.C.",506 SOUTH FRANKLIN STREET,,"WATKINS GLEN, NY 14891",51 miles,Map
SCHUYLER HOSPITAL,220 STEUBEN ST,,"MONTOUR FALLS, NY 14865",51 miles,Map
FRANK & FRAN DRUGS INC,360 W 1ST ST S,,"FULTON, NY 13069",65 miles,Map
"KPH HEALTHCARE SERVICES, INC.",115 ONEIDA STREET,,"FULTON, NY 13069",66 miles,Map
CRYSTAL CITY APOTHECARY LLC,443 CAYUTA AVE.,,"WAVERLY, NY 14892",59 miles,Map
THE GOLUB CORPORATION,12 WEST FIRST STREET SOUTH,,"FULTON, NY 13069",66 miles,Map
"PENNSYLVANIA CVS PHARMACY, L.L.C.",430 KEYSTONE AVE,,"SAYRE, PA 18840",60 miles,Map
ROBERT PACKER HOSPITAL,ONE GUTHRIE SQUARE,SUITE EC101,"SAYRE, PA 18840",61 miles,Map
THE GOLUB CORPORATION,142 GENESEE STREET,,"ONEIDA, NY 13421",55 miles,Map
GRAND UNION OF SHERRILL LLC,87 E STATE ST,,"SHERRILL, NY 13461",57 miles,Map
"TOPS PT, LLC",87 EAST STATE STREET,,"SHERRILL, NY 13461",57 miles,Map
ECKERD CORPORATION,420 HAMILTON STREET,,"GENEVA, NY 14456",59 miles,Map
AURELIA OSBORN FOX MEMORIAL HOSPITAL SOCIETY INC.,43 PEARL ST W,,"SIDNEY, NY 13838",59 miles,Map
ECKERD CORPORATION,2898 WESTINGHOUSE ROAD,,"HORSEHEADS, NY 14845",59 miles,Map
GEROULD'S PROFESSIONAL,PHARMACY INC,2887 WESTINGHOUSE RD,"HORSEHEADS, NY 14845",59 miles,Map
ECKERD CORPORATION,2144 GRAND CENTRAL AVENUE,,"HORSEHEADS, NY 14845",59 miles,Map
U & I INC USA,5236 W SENECA ST,PO BOX 1260,"VERNON, NY 13476",59 miles,Map
"CVS ALBANY, L.L.C.",139 EAST MAIN STREET,,"WATERVILLE, NY 13480",60 miles,Map
ECKERD CORPORATION,119 WEST 2ND STREET,,"ELMIRA, NY 14901",63 miles,Map
"KPH HEALTHCARE SERVICES, INC.",2 PRESTON ST,,"CAMDEN, NY 13316",71 miles,Map
BROWN'S PHARMACY,225 MAIN ST,P.O. BOX 308,"UNADILLA, NY 13849",63 miles,Map
GEROULD'S PROFESSIONAL PHARMACY INC,130 S MAIN ST,,"ELMIRA, NY 14904",63 miles,Map
ECKERD CORPORATION,209 MOUNT ZOAR STREET,,"ELMIRA, NY 14904",63 miles,Map
ARNOT-OGDEN MEDICAL CENTER,600 ROE AVE,,"ELMIRA, NY 14905",63 miles,Map
GEROULD'S PROF PHCY INC,215 HOFFMAN ST,,"ELMIRA, NY 14905",64 miles,Map
"RITE AID OF NEW YORK, INC.",1000 PENNSYLVANIA AVENUE,,"ELMIRA, NY 14904",65 miles,Map
"CVS ALBANY, L.L.C.",39 MEADOW ST.,,"CLINTON, NY 13323",65 miles,Map
BLITZ PHARMACY INC.,485 MAPLE ST.,,"BIG FLATS, NY 14814",65 miles,Map
"KPH HEALTHCARE SERVICES, INC.",12 FRANKLIN AVENUE,,"CLINTON, NY 13323",65 miles,Map
DOBBINS DRUGS INC,52 WILLIAM ST,,"LYONS, NY 14489",67 miles,Map
CORNING HOSPITAL,1 GUTHRIE DR,,"CORNING, NY 14830",68 miles,Map
CORNING HOSPITAL INC,1 GUTHRIE DR,,"CORNING, NY 14830",68 miles,Map
"KPH HEALTHCARE SERVICES, INC.",20 FORGHAM ST,,"LYONS, NY 14489",67 miles,Map
CLIFTON SPRINGS HOSPITAL & CLINIC,2 COULTER RD,PHARMACY DEPT,"CLIFTON SPRINGS, NY 14432",70 miles,Map
"RITE AID OF NEW YORK, INC.",405 ERIE BOULEVARD WEST,,"ROME, NY 13440",72 miles,Map
"WALGREEN EASTERN CO., INC.",201 S. JAMES ST.,,"ROME, NY 13440",72 miles,Map
ECKERD CORPORATION,100 CONHOCTON ST,,"CORNING, NY 14830",71 miles,Map
THE GOLUB CORPORATION,4535 COMMERICAL DRIVE,,"NEW HARTFORD, NY 13413",71 miles,Map
"MARTIN'S FOODS OF SOUTH BURLINGTON, LLC",4593 COMMERCIAL DRIVE,,"NEW HARTFORD, NY 13413",71 miles,Map
STANWOOD PHARMACY INC,18 KELLOGG RD,,"NEW HARTFORD, NY 13413",71 miles,Map
ECKERD CORPORATION,46 KELLOGG ROAD,,"NEW HARTFORD, NY 13413",71 miles,Map
"WALGREEN EASTERN CO., INC.",49 KELLOGG RD,,"NEW HARTFORD, NY 13413",72 miles,Map
GEROULD'S PROF PHARMACY,98 W PULTENEY ST,,"CORNING, NY 14830",72 miles,Map
ECKERD CORPORATION,101 S. MAIN STREET,,"NEWARK, NY 14513",72 miles,Map
"MARTIN'S FOODS OF SOUTH BURLINGTON, LLC",808 WEST CHESTNUT STREET,,"ROME, NY 13440",74 miles,Map
"RMH RETAIL PHARMACY, LLC",1500 N JAMES ST,,"ROME, NY 13440",74 miles,Map
ECKERD CORPORATION,4854 COMMERCIAL DRIVE,,"NEW HARTFORD, NY 13413",72 miles,Map
THE GOLUB CORPORATION,1790 BLACK RIVER BLVD,,"ROME, NY 13440",74 miles,Map
VIAHEALTH OF WAYNE,1200 DRIVING PARK AVE,PO BOX 111,"NEWARK, NY 14513",73 miles,Map
ST ELIZABETH MEDICAL CENTER,2209 GENESEE ST,C/O PHARMACY DEPT,"UTICA, NY 13501",74 miles,Map
"KPH HEALTHCARE SERVICES, INC.",40 ORISKANY BLVD,,"WHITESBORO, NY 13492",74 miles,Map
"RITE AID OF NEW YORK, INC.",1924 GENESEE STREET,,"UTICA, NY 13502",74 miles,Map
"RITE AID OF NEW YORK, INC.",141 ORISKANY BOULEVARD,,"WHITESBORO, NY 13492",74 miles,Map
THE GOLUB CORPORATION,1917 GENESEE STREET,,"UTICA, NY 13501",74 miles,Map
FAXTON - ST. LUKE'S HC/MOHAWK VALLEY HEALTH SYSTEM,1676 SUNSET AVE,,"UTICA, NY 13502",74 miles,Map
"HEALTHDIRECT INSTITUTIONAL PHARMACY SERVICES, INC.",9225 RIVER RD,PO BOX 171,"MARCY, NY 13403",76 miles,Map
"MARTIN'S FOODS OF SOUTH BURLINGTON, LLC",1122 MOHAWK STREET,,"UTICA, NY 13501",76 miles,Map
BOBS PHARMACY LLC,430 BLEECKER ST,,"UTICA, NY 13501",77 miles,Map
"CVS ALBANY, L.L.C.",34 W. MAIN ST.,,"SODUS, NY 14551",81 miles,
"RITE AID OF NEW YORK, INC.",1070 GENESEE STREET,,"BUFFALO, NY 14211",1 miles,Map
